bldg_id,in.sqft,in.area_median_income,in.battery,in.bedrooms,in.ceiling_fan,in.clothes_dryer,in.clothes_dryer_usage_level,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.cooking_range,in.cooking_range_usage_level,in.cooling_setpoint,in.cooling_setpoint_has_offset,in.cooling_setpoint_offset_magnitude,in.cooling_setpoint_offset_period,in.corridor,in.dishwasher,in.dishwasher_usage_level,in.door_area,in.duct_leakage_and_insulation,in.duct_location,in.federal_poverty_level,in.geometry_attic_type,in.geometry_building_horizontal_location_mf,in.geometry_building_horizontal_location_sfa,in.geometry_building_level_mf,in.geometry_building_number_units_mf,in.geometry_building_number_units_sfa,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_foundation_type,in.geometry_garage,in.geometry_stories,in.geometry_stories_low_rise,in.geometry_story_bin,in.geometry_wall_exterior_finish,in.geometry_wall_type,in.has_pv,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.holiday_lighting,in.hot_water_distribution,in.hot_water_fixtures,in.household_has_tribal_persons,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_has_ducts,in.hvac_has_shared_system,in.hvac_has_zonal_electric_heating,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_shared_efficiencies,in.income_recs_2020,in.infiltration,in.insulation_ceiling,in.insulation_floor,in.insulation_foundation_wall,in.insulation_rim_joist,in.insulation_roof,in.insulation_slab,in.insulation_wall,in.interior_shading,in.lighting,in.lighting_interior_use,in.lighting_other_use,in.mechanical_ventilation,in.misc_extra_refrigerator,in.misc_freezer,in.misc_gas_fireplace,in.misc_gas_grill,in.misc_gas_lighting,in.misc_hot_tub_spa,in.misc_pool,in.misc_pool_heater,in.misc_pool_pump,in.misc_well_pump,in.natural_ventilation,in.neighbors,in.occupants,in.orientation,in.overhangs,in.plug_load_diversity,in.plug_loads,in.pv_orientation,in.pv_system_size,in.radiant_barrier,in.refrigerator,in.refrigerator_usage_level,in.roof_material,in.solar_hot_water,in.tenure,in.usage_level,in.vacancy_status,in.vintage,in.vintage_acs,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.window_areas,in.windows,in.representative_income,out.site_energy.total.energy_consumption.kwh
510,2179,60-80%,,3,Standard Efficiency,Gas,100% Usage,Standard,Yes,100% Usage,Electric Resistance,100% Usage,72F,Yes,2F,Night Setup -1h,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,"10% Leakage to Outside, Uninsulated",Unheated Basement,200-300%,Vented Attic,,,,,,Single-Family Detached,2000-2499,1500-2499,Unheated Basement,,2,2,<8,"Shingle, Composition, Medium",Wood Frame,No,Natural Gas,68F,No,0F,,No Exterior Use,Uninsulated,100% Usage,No,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,40000-59999,30 ACH50,R-7,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,EF 17.6,,Gas Fireplace,,,Natural Gas,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,West,,1.0,1.01,,,No,EF 19.9,100% Usage,"Asphalt Shingles, Medium",,Owner,Medium,Occupied,<1940,<1940,Electric Standard,Electricity,Yes,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",47457,94285.3593404564
1655,1228,150%+,,3,Standard Efficiency,Electric,100% Usage,Standard,Yes,100% Usage,Propane,100% Usage,70F,No,0F,,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,,,400%+,Finished Attic or Cathedral Ceilings,,,,,,Single-Family Detached,1000-1499,0-1499,Unheated Basement,1 Car,2,2,<8,"Vinyl, Light",Wood Frame,No,Other Fuel,65F,No,0F,,No Exterior Use,Uninsulated,100% Usage,No,"Room AC, EER 10.7",40% Conditioned,Room AC,No,,No,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,150000+,20 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-13",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,"EF 12, National Average",,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,West,,1.0,1.01,,,No,EF 19.9,100% Usage,"Metal, Dark",,Owner,Medium,Occupied,<1940,<1940,Propane Tankless,Propane,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",149501,9011.93540779583
1700,3310,150%+,,4,Standard Efficiency,Gas,80% Usage,EnergyStar,Yes,80% Usage,Gas,80% Usage,68F,No,0F,,Not Applicable,290 Rated kWh,80% Usage,20 ft^2,"30% Leakage to Outside, Uninsulated",Unheated Basement,400%+,,,,,,,Single-Family Detached,3000-3999,2500-3999,Unheated Basement,,1,1,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,72F,Yes,3F,Night -4h,No Exterior Use,Uninsulated,50% Usage,No,"AC, SEER 15",60% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,100000-149999,20 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-30",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,3,South,,0.5,1.01,,,No,EF 21.9,95% Usage,"Asphalt Shingles, Medium",,Owner,Low,Occupied,1950s,1940-59,Natural Gas Standard,Natural Gas,Yes,F15 B15 L15 R15,"Single, Clear, Metal",109096,95087.2017884476
3424,3310,150%+,,4,Standard Efficiency,Gas,100% Usage,Standard,Yes,100% Usage,Gas,100% Usage,70F,Yes,5F,Night Setback +1h,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,"20% Leakage to Outside, Uninsulated",Crawlspace,400%+,,,,,,,Single-Family Detached,3000-3999,2500-3999,Vented Crawlspace,,2,2,<8,"Wood, Medium/Dark",Wood Frame,No,Natural Gas,72F,No,0F,,No Exterior Use,Uninsulated,100% Usage,No,"Room AC, EER 9.8",20% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,150000+,15 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-49",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,East,,1.0,1.01,,,No,EF 21.9,100% Usage,"Asphalt Shingles, Medium",,Owner,Medium,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",280058,98809.497450705
6034,1698,Not Available,,4,"Standard Efficiency, No usage",Electric,80% Usage,Standard,Yes,80% Usage,Electric Resistance,80% Usage,65F,No,0F,,Not Applicable,318 Rated kWh,80% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Living Space,Not Available,,,,,,,Mobile Home,1500-1999,1500-2499,Ambient,,1,1,<8,"Wood, Medium/Dark",Wood Frame,No,Fuel Oil,55F,No,0F,,No Exterior Use,Uninsulated,50% Usage,Not Available,"AC, SEER 15",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,Not Available,15 ACH50,,Ceiling R-19,,,"Finished, R-38",,"Wood Stud, R-11","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,0,West,,0.5,0.97,,,No,EF 10.5,95% Usage,Composition Shingles,,Not Available,Low,Vacant,1980s,1980-99,Electric Standard,Electricity,Yes,F15 B15 L15 R15,"Single, Clear, Metal",0,17952.6545455398
6975,1228,Not Available,,2,"Standard Efficiency, No usage",Electric,100% Usage,EnergyStar,Yes,100% Usage,Electric Resistance,100% Usage,70F,Yes,9F,Night Setback +5h,Not Applicable,318 Rated kWh,100% Usage,20 ft^2,"30% Leakage to Outside, Uninsulated",Unheated Basement,Not Available,,,,,,,Single-Family Detached,1000-1499,0-1499,Unheated Basement,1 Car,1,1,<8,"Wood, Medium/Dark",Wood Frame,No,Natural Gas,55F,Yes,12F,Night +2h,No Exterior Use,Uninsulated,100% Usage,Not Available,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Natural Gas Fuel Boiler,,Not Available,15 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,"EF 12, National Average",,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,0,East,,1.0,1.01,,,No,EF 6.7,100% Usage,"Metal, Dark",,Not Available,Medium,Vacant,1960s,1960-79,Natural Gas Standard,Natural Gas,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",0,16052.6747976133
7612,2678,60-80%,,5,Standard Efficiency,Propane,80% Usage,Standard,Yes,80% Usage,Propane,80% Usage,72F,No,0F,,Not Applicable,318 Rated kWh,80% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Heated Basement,200-300%,Vented Attic,,,,,,Single-Family Detached,2500-2999,2500-3999,Heated Basement,2 Car,2,2,<8,"Vinyl, Light",Wood Frame,No,Propane,78F,Yes,3F,Night +4h,No Exterior Use,Uninsulated,50% Usage,No,"AC, SEER 13",60% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,40000-59999,5 ACH50,R-30,Uninsulated,"Wall R-5, Exterior","R-5, Exterior","Unfinished, Uninsulated",,"Wood Stud, R-19","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,South,,0.5,1.01,,,No,EF 19.9,95% Usage,Composition Shingles,,Owner,Low,Occupied,2010s,2010s,Propane Tankless,Propane,Yes,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",42426,42721.5560411451
7830,634,Not Available,,2,"Standard Efficiency, No usage",Electric,100% Usage,EnergyStar,Yes,100% Usage,Propane,100% Usage,68F,No,0F,,Not Applicable,318 Rated kWh,100% Usage,20 ft^2,"10% Leakage to Outside, R-6",Unheated Basement,Not Available,Vented Attic,,,,,,Single-Family Detached,500-749,0-1499,Unheated Basement,1 Car,1,1,<8,"Brick, Medium/Dark",Wood Frame,No,Propane,55F,Yes,12F,Night +5h,No Exterior Use,Uninsulated,100% Usage,Not Available,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,Not Available,6 ACH50,R-38,Ceiling R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, R-19","Summer = 0.7, Winter = 0.85",100% Incandescent,100% Usage,100% Usage,,EF 6.7,"EF 12, National Average",,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,0,Northeast,,1.0,1.01,,,No,EF 17.6,100% Usage,Composition Shingles,,Not Available,Medium,Vacant,2000s,2000-09,Propane Standard,Propane,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",0,7248.52677856957
9077,1228,30-60%,,2,Standard Efficiency,Electric,100% Usage,Standard,Yes,100% Usage,Propane,100% Usage,78F,No,0F,,Not Applicable,,100% Usage,20 ft^2,"10% Leakage to Outside, Uninsulated",Unheated Basement,100-150%,Vented Attic,,,,,,Single-Family Detached,1000-1499,0-1499,Unheated Basement,1 Car,1,1,<8,"Vinyl, Light",Wood Frame,No,Other Fuel,72F,No,0F,,No Exterior Use,Uninsulated,100% Usage,No,"AC, SEER 13",80% Conditioned,Central AC,Yes,,No,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,20000-39999,15 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,North,,1.0,1.01,,,No,EF 19.9,100% Usage,Composition Shingles,,Owner,Medium,Occupied,<1940,<1940,Electric Standard,Electricity,Yes,F18 B18 L18 R18,"Single, Clear, Non-metal, Exterior Clear Storm",25254,8472.97770974911
10735,2179,100-120%,,3,Standard Efficiency,Gas,80% Usage,EnergyStar,Yes,80% Usage,Gas,80% Usage,72F,Yes,2F,Night Setback +4h,Not Applicable,,80% Usage,20 ft^2,"20% Leakage to Outside, Uninsulated",Unheated Basement,300-400%,Vented Attic,,,,,,Single-Family Detached,2000-2499,1500-2499,Unheated Basement,,2,2,<8,"Stucco, Light",Wood Frame,No,Natural Gas,75F,Yes,3F,Night +5h,No Exterior Use,Uninsulated,50% Usage,No,"Room AC, EER 12.0",20% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,60000-99999,10 ACH50,R-7,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,EF 15.9,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,North,,0.5,1.01,,,No,EF 6.7,95% Usage,"Metal, Dark",,Owner,Low,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",63747,74005.427426679
