xfr_gisid,servicepointid
220268180,"[6000993734, 6000993740]"
220268181,[6000993749]
220268182,[6000993773]
220268183,"[6000993783, 6000993767]"
220268184,[6000993726]
220268252,"[6000990458, 6000990464]"
220268260,"[6000990649, 6000990643, 6000990679, 6000990671]"
220268261,[6000990498]
220269720,"[6000977845, 6000978045]"
220269721,[6000978060]
220269722,[6000978060]
220269723,[6000978060]
220269724,[6000978076]
220269725,[6000978110]
220269726,"[6000978120, 6000978127]"
220269727,[6000997739]
220269813,[6000991335]
220269814,[6000991310]
220269815,[6000991236]
220269816,"[6003589735, 6000991344]"
220269817,[6000999043]
220269818,[6000999050]
220269819,[6000999055]
220269821,[6000991354]
220269822,[6000991361]
220269828,"[6000998866, 6000998847, 6000998853, 6000998838]"
220269830,"[6000998901, 6000998918]"
220269831,[6000998972]
220269832,[6000998925]
220269833,[6000998936]
220269834,[6000998944]
220269835,[6003577945]
220269836,[6000999010]
220269837,[6000998995]
220269838,[6000999003]
220269839,[6000999029]
220269840,[6000998768]
220269841,[6000998783]
220269842,"[6000998809, 6000998795]"
220269843,"[6000998824, 6000998819]"
220269844,[6000998829]
220269962,[6000993720]
220269963,"[6000990470, 6000990477]"
220269965,"[6000990384, 6000990391, 6000990376]"
220269966,[6000990399]
220269967,"[6000990345, 6001988775, 6000990434]"
220269968,"[6000990452, 6000990441]"
220270205,[6000998931]
220270206,"[6003129408, 6000973872, 6003609543, 6000973884]"
220270208,[6000973888]
220270209,[6000973894]
220270211,"[6000973941, 6000973901, 6000973916]"
220270212,[6000973949]
220270213,[6000973966]
220270215,[6000973997]
220270216,"[6000974002, 6000974025]"
220270217,[6000974035]
220270218,"[6000973865, 6000973858]"
220270274,"[6000990354, 6000990703]"
220270381,"[6001002035, 6001002043]"
220270382,[6001002030]
220270383,[6001002016]
220270492,"[6000981995, 6000982108, 6000981661, 6000982075, 6000981857]"
220270493,"[6000982045, 6000982002, 6000981847, 6000981937, 6000981794, 6000981909, 6000981983, 6000981956, 6000981812, 6000982032, 6000981969]"
220270494,"[6000981744, 6000982132, 6000981805, 6000981713, 6000981768, 6000982117, 6000982093, 6000982173]"
220270495,"[6000981895, 6000981730, 6000981752, 6000981923, 6000981826]"
220270496,"[6000994134, 6000994018, 6000994026, 6000994142, 6000994084, 6000994066, 6000994049, 6000994032]"
220270497,"[6001002801, 6001002643, 6001002841, 6001002808, 6001002786, 6001002681, 6001002740, 6001002674, 6001002660]"
220270498,"[6001002873, 6003381576, 6001002768]"
220270499,"[6000974626, 6000974703, 6000974673, 6000989625, 6000974664, 6000974722, 6000974709, 6000974635, 6000974688]"
220270500,"[6000974749, 6000974573, 6000974582, 6000974745, 6003442818, 6000974613, 6000974767, 6003442820]"
220270502,"[6000983900, 6000983921, 6000983952, 6000983937]"
220270503,"[6000984054, 6000984082, 6000983991, 6000984007]"
220270505,"[6000984162, 6000984123]"
220270506,"[6000984211, 6000984221, 6000984196]"
220270518,"[6000981530, 6000981504, 6000981427, 6000981490, 6000981383, 6000981644]"
220270519,"[6000981353, 6000981294, 6000981626, 6000981402, 6000981310, 6000981444, 6000981324]"
220270520,"[6000981276, 6000981615]"
220270521,"[6000981551, 6000981462, 6000981586, 6000981600]"
220270522,"[6000999930, 6001000197, 6001000095, 6000999323, 6000999949, 6001000018, 6000999857, 6001000044, 6001000135, 6000999361, 6001000220, 6001000246, 6000999619, 6001000328, 6001000062, 6001000154, 6003360619, 6001000314, 6001000145, 6000999348, 6001000175, 6000999832, 6000999903, 6000999882, 6001000100, 6000999353, 6001000162, 6001000190, 6000999264, 6000999968, 6000978271, 6001001981, 6000999937, 6001000212, 6001000126, 6000999380, 6000999960, 6003616848, 6001000341, 6000999867, 6001000183, 6001000168, 6000999331, 6000999841]"
220270540,"[6000991872, 6000991840]"
220270541,"[6000983779, 6000983766, 6000983754, 6000991887, 6003468777]"
220270542,"[6001001863, 6001001951, 6000999469, 6000999501, 6001001919, 6001001895, 6001001968, 6000999489]"
220270544,"[6000978295, 6000978332, 6000978474, 6000992211, 6000978428, 6003505478, 6000978347, 6000978244, 6000992877, 6000978457, 6000978403, 6000978414]"
220270548,"[6000978519, 6003198278, 6003198280, 6003198277, 6003198279]"
220270550,"[6001001788, 6001001595, 6001001613]"
220270551,"[6000978580, 6000978643, 6000978625, 6000978593]"
220270552,"[6000978763, 6000978689]"
220270553,"[6000978672, 6000978655]"
220270554,[6000978777]
220270555,"[6000978255, 6000978791]"
220270556,"[6000978255, 6000978791]"
220270557,"[6000978791, 6000978255]"
220270560,"[6000978924, 6000978854, 6000978885, 6000978908, 6003649809, 6000978862, 6000978893, 6000978869, 6000978846, 6000978876, 6001002755]"
220270561,"[6002010317, 6000978972, 6000979007, 6003179032, 6000978937, 6003575435]"
220270562,"[6001001260, 6001001212, 6001001254, 6001001220, 6001001379, 6001001134, 6001001096, 6001001281, 6000978814, 6001001395, 6001001348, 6001001412, 6001001190, 6001001117, 6001001108, 6001001483, 6001001362]"
