,in.geometry_floor_area,in.heating_fuel,in.insulation_wall,in.heating_setpoint,in.representative_income,in.infiltration,in.duct_leakage_and_insulation,in.hvac_heating_type,in.tenure,in.vintage,in.cooling_setpoint,bldg_id,in.geometry_foundation_type,in.hvac_heating_efficiency,in.occupants,in.refrigerator,in.water_heater_efficiency,in.bedrooms,in.window_areas,in.windows,out.site_energy.total.energy_consumption.kwh,in.geometry_building_type_recs,in.geometry_stories,in.geometry_building_number_units_mf,in.vintage_acs,in.hvac_cooling_type,in.geometry_wall_type,in.roof_material,in.geometry_garage,in.geometry_attic_type
0,2000-2499,Natural Gas,"Wood Stud, Uninsulated",68F,47457,30 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,510,Unheated Basement,"Fuel Furnace, 76% AFUE",2,EF 19.9,Electric Standard,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",94285.3593404564,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
1,1000-1499,Other Fuel,"Wood Stud, Uninsulated",65F,149501,20 ACH50,,Non-Ducted Heating,Owner,<1940,70F,1655,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Propane Tankless,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",9011.93540779583,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Metal, Dark",1 Car,Finished Attic or Cathedral Ceilings
2,3000-3999,Natural Gas,"Wood Stud, Uninsulated",72F,109096,20 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,68F,1700,Unheated Basement,"Fuel Furnace, 92.5% AFUE",3,EF 21.9,Natural Gas Standard,4,F15 B15 L15 R15,"Single, Clear, Metal",95087.2017884476,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
3,3000-3999,Natural Gas,"Wood Stud, Uninsulated",72F,280058,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,3424,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 21.9,Natural Gas Standard,4,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",98809.497450705,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
4,1500-1999,Fuel Oil,"Wood Stud, R-11",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1980s,65F,6034,Ambient,"Fuel Furnace, 80% AFUE",0,EF 10.5,Electric Standard,4,F15 B15 L15 R15,"Single, Clear, Metal",17952.6545455398,Mobile Home,1,,1980-99,Central AC,Wood Frame,Composition Shingles,,
5,1000-1499,Natural Gas,"Wood Stud, Uninsulated",55F,0,15 ACH50,"30% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,1960s,70F,6975,Unheated Basement,"Fuel Boiler, 80% AFUE",0,EF 6.7,Natural Gas Standard,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",16052.6747976133,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Metal, Dark",1 Car,
6,2500-2999,Propane,"Wood Stud, R-19",78F,42426,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2010s,72F,7612,Heated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Propane Tankless,5,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",42721.5560411451,Single-Family Detached,2,,2010s,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
7,500-749,Propane,"Wood Stud, R-19",55F,0,6 ACH50,"10% Leakage to Outside, R-6",Ducted Heating,Not Available,2000s,68F,7830,Unheated Basement,"Fuel Furnace, 80% AFUE",0,EF 17.6,Propane Standard,2,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",7248.52677856957,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
8,1000-1499,Other Fuel,"Wood Stud, Uninsulated",72F,25254,15 ACH50,"10% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,<1940,78F,9077,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Electric Standard,2,F18 B18 L18 R18,"Single, Clear, Non-metal, Exterior Clear Storm",8472.97770974911,Single-Family Detached,1,,<1940,Central AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
9,2000-2499,Natural Gas,"Wood Stud, Uninsulated",75F,63747,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,10735,Unheated Basement,"Fuel Furnace, 92.5% AFUE",2,EF 6.7,Natural Gas Standard,3,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",74005.427426679,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Metal, Dark",,Vented Attic
