Feature,Importance
in.geometry_floor_area,0.4656645575875093
in.insulation_wall,0.07002344698271898
in.heating_fuel,0.05800231743903571
in.plug_loads,0.050206607366257094
in.geometry_building_type_recs,0.04757372035285736
in.infiltration,0.04378575684047632
in.heating_setpoint,0.019454477594362127
in.representative_income,0.01906660382926976
in.vacancy_status,0.01612491884797254
in.tenure,0.014738211840282737
in.household_has_tribal_persons,0.013209252926188646
in.cooling_setpoint,0.008967534067606558
in.geometry_building_horizontal_location_mf,0.008920772509209494
in.hvac_heating_efficiency,0.008526137072288976
in.occupants,0.007402182362336963
bldg_id,0.007364629601991299
in.income_recs_2020,0.007127788198975329
in.duct_leakage_and_insulation,0.007038103810862348
in.hvac_heating_type,0.006928516870373378
in.vintage,0.006487775896550985
in.neighbors,0.006382676642811078
in.area_median_income,0.0062148413114937635
in.federal_poverty_level,0.006005564494231365
in.geometry_foundation_type,0.004740343017039424
in.insulation_ceiling,0.00472805675075948
in.insulation_roof,0.004630998238437318
in.geometry_stories,0.004571060091586894
in.geometry_stories_low_rise,0.00425886744409025
in.orientation,0.003803062367274338
in.water_heater_efficiency,0.003724227042653242
in.refrigerator,0.003697213055110713
in.water_heater_fuel,0.0035383128943764267
in.windows,0.0035322443055063567
in.window_areas,0.003255656605156524
in.hvac_cooling_efficiency,0.003167627034580503
in.geometry_wall_exterior_finish,0.0030952876221586136
in.duct_location,0.003007709175057139
in.geometry_building_number_units_mf,0.0029510897554496794
in.hvac_cooling_partial_space_conditioning,0.0028900853671621476
in.cooking_range,0.0028882775760511086
in.roof_material,0.0025910981699921384
in.geometry_building_horizontal_location_sfa,0.0025433473981490567
in.clothes_dryer,0.0024342729312629577
in.lighting,0.0021917174493979777
in.clothes_washer,0.0020753694868801526
in.bedrooms,0.001995832526801994
in.dishwasher,0.0019911073352268265
in.geometry_attic_type,0.0017970007388209757
in.misc_extra_refrigerator,0.0014117441725297658
in.insulation_rim_joist,0.0013448439388821498
in.insulation_foundation_wall,0.00132817875513628
in.hvac_cooling_type,0.0012426554556521081
in.hot_water_fixtures,0.0011520963602647898
in.plug_load_diversity,0.001144537412213733
in.usage_level,0.0011114111728797648
in.geometry_building_level_mf,0.0009187473167666667
in.insulation_floor,0.0009023722390812819
in.geometry_wall_type,0.0006721014117958243
in.geometry_garage,0.0006509438790437978
in.insulation_slab,0.0005736302900713633
in.hvac_has_ducts,0.0003900871307169179
in.misc_hot_tub_spa,0.0003302178467779608
in.corridor,0.00032447527986279463
in.geometry_building_number_units_sfa,0.0003184881434952469
in.water_heater_in_unit,0.0002310188095656924
in.hvac_shared_efficiencies,0.00013854567990953778
in.hvac_has_zonal_electric_heating,0.0001314116649530045
in.misc_pool,0.00010933225226321436
in.hvac_has_shared_system,7.602380317991712e-05
in.pv_system_size,5.962696707530784e-05
in.has_pv,4.57219865462777e-05
in.geometry_story_bin,2.9602571368568495e-05
in.ceiling_fan,2.5593672920132767e-05
in.pv_orientation,2.0332962403547732e-05
in.door_area,0.0
in.holiday_lighting,0.0
in.hot_water_distribution,0.0
in.interior_shading,0.0
in.misc_freezer,0.0
in.misc_gas_fireplace,0.0
in.misc_gas_grill,0.0
in.misc_gas_lighting,0.0
in.misc_well_pump,0.0
in.natural_ventilation,0.0
in.radiant_barrier,0.0
