meter id,ResStock_ids,cvrmses,cvrmses_month,percent_errs_cooling,percent_errs_heating,peak_htg_hr_diffs,peak_clg_hr_diffs,costs
6000973858,[13761],[0.8043237466893888],[0.2386941743116078],[0.08541846313340556],[0.05297519987879825],[2.0],[1.0],[0.0033453275637905107]
6000973865,[139488],[0.8465657569869366],[0.26783754882306116],[0.08826230814844155],[0.14407488515693614],[1.0],[1.0],[0.004543110695084207]
6000973884,[483031],[1.1766695373203715],[0.14530217913461768],[0.04689310362108548],[0.039254872594854676],[1.0],[1.0],[0.005579890903518809]
6000973888,[182528],[0.9687557040127385],[0.11508037731440166],[0.05037544664213248],[0.05171599117679144],[11.0],[2.0],[0.0034784816643965216]
6000973894,[],[],[],[],[],[],[],[]
6000973901,[269317],[0.5211125178494586],[0.17895413319023676],[0.3040793772848674],[0.021969336466222428],[1.0],[1.0],[0.005279623422764385]
6000973916,[381285],[0.770003657956613],[0.17654729591990603],[0.17924109820452122],[0.0022097499713169496],[9.0],[1.0],[0.00665055152020198]
6000973941,[269129],[0.8195008312801738],[0.2214238192032268],[0.0012360535318809973],[0.01706696488340102],[2.0],[1.0],[0.011126701191293002]
6000973949,[397621],[0.7109960947443276],[0.24355420543997855],[0.0012274839953778866],[0.28978472376037867],[1.0],[10.0],[0.004647561864924154]
6000973966,[301424],[0.7850730944415429],[0.16162080680055835],[0.193058595311649],[0.10367673907510504],[1.0],[1.0],[0.003478981020896231]
6000973997,[234429],[0.9388317079038646],[0.08554786100189707],[0.04464910958500623],[0.15014907673932232],[1.0],[2.0],[0.0034367838321481088]
6000974002,[69878],[0.6707847556287952],[0.1689155590926759],[0.10514594906308497],[0.02854165363918036],[5.0],[4.0],[0.006965497090619272]
6000974025,[205267],[0.9541433444338734],[0.2070508596986061],[0.023232140829303582],[0.15654314996399887],[1.0],[11.0],[0.015535453030267444]
6000974035,[329283],[1.0546987989977128],[0.1222261957859478],[0.06823566341874909],[0.007116091647510514],[2.0],[5.0],[0.0033431506468888043]
6000974573,[],[],[],[],[],[],[],[]
6000974582,[240439],[1.1442224620580597],[0.3170209357662595],[0.04223337178042654],[0.22423879879274747],[11.0],[12.0],[0.008754047945876588]
6000974613,[279322],[0.7057264864971843],[0.1585940325663163],[0.2688814235247781],[0.15798938718744202],[10.0],[11.0],[0.008949953856570436]
6000974626,[],[],[],[],[],[],[],[]
6000974635,[183068],[0.9327439289430336],[0.23101446119895983],[0.030557268641707398],[0.011304454197528346],[1.0],[1.0],[0.0033971776511848]
6000974664,[381285],[0.821258971205455],[0.17744867318690916],[0.28775629228041333],[0.14539429616452737],[1.0],[12.0],[0.016447237385966734]
6000974673,[59156],[1.1242637932018167],[0.4046055001434839],[0.32996464249839486],[0.12134988604930484],[2.0],[9.0],[0.011133051728375781]
6000974688,[381285],[0.9035292764687353],[0.22088206395840734],[0.2778603198521421],[0.003296978291404852],[10.0],[3.0],[0.016983514351565632]
6000974703,[381285],[0.665257373428034],[0.1616132981221711],[0.11039086458607444],[0.03752160133382314],[1.0],[4.0],[0.003911614670741831]
6000974709,[59156],[1.012167215576589],[0.2716637770644648],[0.0554405904516207],[0.08508575733917861],[2.0],[2.0],[0.013531368389634875]
6000974722,[512197],[0.5755102393028443],[0.20507521461532346],[0.0975513979040223],[0.09663254681794176],[0.0],[11.0],[0.0025013084866806765]
6000974745,[325136],[0.4915182072220734],[0.14632376482835763],[0.08782504903520896],[0.14482542539326018],[0.0],[5.0],[0.007391865274826938]
6000974749,[437117],[0.6575931067452252],[0.1377505772608961],[0.3942394351103666],[0.32955512467719766],[1.0],[11.0],[0.017147740325221546]
6000974767,[279322],[0.6819819538393463],[0.1828686218871399],[0.24790899035819572],[0.06333805251920441],[8.0],[12.0],[0.00776728433973944]
6000978076,[414453],[0.7166149623343125],[0.17975750649199929],[0.021469417066567298],[0.0001465692590729557],[11.0],[10.0],[0.006839297887369994]
6000978110,[182528],[0.9122122033245352],[0.20803732469168856],[0.06028846607307712],[0.08873535358844106],[7.0],[4.0],[0.01123790030433854]
6000978127,[291004],[0.55103680458411],[0.12905829906714603],[0.031118194784499065],[0.04326069572346106],[11.0],[11.0],[0.0007789879767641816]
6000978295,[467301],[0.6139745138643337],[0.23856033340775332],[0.135777470755389],[0.06296648703225106],[12.0],[4.0],[0.015011164303307872]
6000978332,[301762],[1.0078821598662953],[0.14229561178841782],[0.1485050192728313],[0.08765833003717938],[0.0],[2.0],[0.01047914213498341]
6000978347,[381285],[0.836138879456025],[0.5166333338841824],[0.03392773948021893],[0.17019185811746929],[7.0],[0.0],[0.0045093103779493505]
6000978403,[],[],[],[],[],[],[],[]
6000978414,[],[],[],[],[],[],[],[]
6000978428,[458439],[1.102416196168386],[0.42015167779925977],[0.10011143148355295],[0.15994766264184934],[1.0],[1.0],[0.006297879263063364]
6000978457,[151069],[0.8612599957095778],[0.19711374483484853],[0.10373868731327539],[0.12739369434452089],[1.0],[1.0],[0.003664623104068076]
6000978474,[],[],[],[],[],[],[],[]
6000978519,[414453],[0.7687648618702632],[0.2200369820036285],[0.02938083207908092],[0.022673058906623935],[0.0],[2.0],[0.006351819115671427]
6000978531,[534907],[1.1473468088485503],[0.21690523507880194],[0.0029776789261255253],[0.04232744723678449],[1.0],[0.0],[0.00218923921303423]
6000978547,[],[],[],[],[],[],[],[]
6000978557,[281716],[0.78910395677881],[0.2392186569954992],[0.35614555572338863],[0.16301497351030597],[3.0],[5.0],[0.0053958761812022225]
6000978567,[],[],[],[],[],[],[],[]
6000978580,[],[],[],[],[],[],[],[]
6000978593,[200729],[0.8549262865576018],[0.4488210881625161],[0.04945755637658855],[0.19099485975539998],[7.0],[2.0],[0.004151002953428725]
6000978614,[113386],[1.1577954290855437],[0.17165789949179222],[0.04743395118814172],[0.08128827598151228],[2.0],[2.0],[0.0010724923164649285]
6000978625,[264151],[0.9398667660685887],[0.2423397553797533],[0.009944127051281448],[0.03771747788010665],[1.0],[1.0],[0.005029071895714966]
6000978643,[391384],[1.0188623462249293],[0.14628888772281204],[0.0017698322060523545],[0.32677475657751026],[1.0],[6.0],[0.0031941610213354747]
6000978655,[96149],[0.8257599931998282],[0.14505263678163252],[0.11434847259422543],[0.007808538416519404],[0.0],[5.0],[0.009412670626610036]
6000978672,[277866],[0.5872627553185151],[0.16878865303279297],[0.04220384183311369],[0.00376414666198372],[0.0],[2.0],[0.00016020743892136203]
6000978689,[406843],[0.7520424732004166],[0.20185333851424997],[0.026426787201614947],[0.06683573665541627],[2.0],[1.0],[0.0012534901249834152]
6000978704,[443973],[1.0045198042772079],[0.29251203711605694],[0.4318645520513866],[0.7620863200896796],[1.0],[2.0],[0.004927727536477105]
6000978711,[35310],[1.0407223789229223],[0.4481122485350039],[0.09175917903299798],[0.29262776963762543],[10.0],[0.0],[0.0017750651679434982]
6000978735,[],[],[],[],[],[],[],[]
6000978763,[439301],[1.0199749319277505],[0.20250466869115188],[0.001095603449775915],[0.0006348783867202872],[5.0],[6.0],[0.0030326255919485502]
6000978908,[488479],[0.7669401570794344],[0.33364456702736384],[0.019843706803551332],[0.013584778091339848],[1.0],[3.0],[0.0009426818345421007]
