Node,OH,NomV,Vpu,P,Q,Qmin,Qmax,Vpu_obj,Phases,PhasesV,Subest,Feeder,
37e694c4-c835-4725-ad26-687c6c76ea0b_0  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_1  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_2  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_3  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_4  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_5  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_6  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_7  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_8  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_9  ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_10 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_11 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_12 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_13 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_14 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_15 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_16 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_17 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_18 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_19 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_20 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
37e694c4-c835-4725-ad26-687c6c76ea0b_21 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
