Node,Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
106289641_0  ,106289641_0  ,3 ,0.42  ,56.71  ,27.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,56.71  ,27.47 ,0.00 ,1 ,
106289642_1  ,106289642_1  ,3 ,0.42  ,55.55  ,26.90 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,55.55  ,26.90 ,0.00 ,1 ,
106289647_2  ,106289647_2  ,3 ,0.42  ,92.84  ,44.97 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,92.84  ,44.97 ,0.00 ,1 ,
106297261_3  ,106297261_3  ,3 ,0.42  ,112.52 ,54.49 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,112.52 ,54.49 ,0.00 ,1 ,
106297267_0  ,106297267_0  ,1 ,0.42  ,30.36  ,14.71 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,30.36  ,14.71 ,0.00 ,1 ,
106693710_1  ,106693710_1  ,3 ,0.42  ,68.48  ,33.17 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,68.48  ,33.17 ,0.00 ,1 ,
106297261_3  ,106693723_0  ,3 ,0.42  ,49.78  ,24.11 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,49.78  ,24.11 ,0.00 ,1 ,
106693726_0  ,106693726_0  ,3 ,0.42  ,37.85  ,18.33 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,37.85  ,18.33 ,0.00 ,1 ,
106693735_3  ,106693735_3  ,3 ,0.42  ,110.71 ,53.62 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,110.71 ,53.62 ,0.00 ,1 ,
106693739_3  ,106693739_3  ,3 ,0.42  ,77.47  ,37.52 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,77.47  ,37.52 ,0.00 ,1 ,
1100000_3    ,1100000_3    ,1 ,0.42  ,17.69  ,8.57  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,17.69  ,8.57  ,0.00 ,1 ,
535644227_7  ,535644227_7  ,3 ,0.42  ,46.03  ,22.29 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,46.03  ,22.29 ,0.00 ,1 ,
540123657_1  ,540123657_1  ,3 ,0.42  ,39.69  ,19.22 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,39.69  ,19.22 ,0.00 ,1 ,
542938089_9  ,542938089_9  ,3 ,0.42  ,106.66 ,51.66 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,106.66 ,51.66 ,0.00 ,1 ,
542938090_0  ,542938090_0  ,3 ,0.42  ,47.42  ,22.97 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,47.42  ,22.97 ,0.00 ,1 ,
542938094_3  ,542938094_3  ,1 ,0.42  ,30.95  ,14.99 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,30.95  ,14.99 ,0.00 ,1 ,
542938095_7  ,542938095_7  ,1 ,0.42  ,18.44  ,8.93  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,18.44  ,8.93  ,0.00 ,1 ,
542938096_7  ,542938096_7  ,3 ,0.42  ,46.79  ,22.66 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,46.79  ,22.66 ,0.00 ,1 ,
542938097_0  ,542938097_0  ,3 ,0.42  ,68.49  ,33.17 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,68.49  ,33.17 ,0.00 ,1 ,
542938099_2  ,542938099_2  ,3 ,0.42  ,62.29  ,30.17 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,62.29  ,30.17 ,0.00 ,1 ,
542938103_6  ,542938103_6  ,3 ,0.42  ,77.93  ,37.75 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,77.93  ,37.75 ,0.00 ,1 ,
12900000_2   ,12900000_2   ,3 ,0.42  ,104.09 ,50.41 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,104.09 ,50.41 ,0.00 ,1 ,
542938109_0  ,542938109_0  ,3 ,0.42  ,63.50  ,30.75 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,63.50  ,30.75 ,0.00 ,1 ,
542939242_3  ,542939242_3  ,3 ,0.42  ,65.61  ,31.78 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,65.61  ,31.78 ,0.00 ,1 ,
542939243_11 ,542939243_11 ,3 ,0.42  ,94.15  ,45.60 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,94.15  ,45.60 ,0.00 ,1 ,
548357126_0  ,548357126_0  ,3 ,0.42  ,35.23  ,17.06 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,35.23  ,17.06 ,0.00 ,1 ,
548398899_2U ,548398899_2  ,3 ,12.47 ,25.56  ,12.38 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,25.56  ,12.38 ,0.00 ,1 ,
548398908_7  ,548398908_7  ,3 ,0.42  ,47.76  ,23.13 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,47.76  ,23.13 ,0.00 ,1 ,
548398917_2  ,548398917_2  ,1 ,0.42  ,31.74  ,15.37 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,31.74  ,15.37 ,0.00 ,1 ,
