Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:106297267_0-DT3LV)                                  ,DT3LV                                          ,106297267_0  ,0.42  ,0.031 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00824 ,0.00794 ,0.69914  ,0.01368 ,0.06820 ,0.20460 ,350  ,1 ,A   ,A_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:1100000_3-DT5LV)                                    ,DT5LV                                          ,1100000_3    ,0.42  ,0.026 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00708 ,0.00683 ,0.60135  ,0.01176 ,0.05866 ,0.17598 ,350  ,1 ,B   ,B_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:542938094_3-DT9LV)                                  ,DT9LV                                          ,542938094_3  ,0.42  ,0.013 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00336 ,0.00324 ,0.28544  ,0.00558 ,0.02784 ,0.08353 ,350  ,1 ,A   ,A_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:542938095_7-DT10LV)                                 ,DT10LV                                         ,542938095_7  ,0.42  ,0.010 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00273 ,0.00263 ,0.23148  ,0.00453 ,0.02258 ,0.06774 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:548398917_2-DT19LV)                                 ,DT19LV                                         ,548398917_2  ,0.42  ,0.023 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00611 ,0.00589 ,0.51880  ,0.01015 ,0.05061 ,0.15183 ,350  ,1 ,A   ,A_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:548402417_4-DT21LV)                                 ,DT21LV                                         ,548402417_4  ,0.42  ,0.012 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00316 ,0.00305 ,0.26850  ,0.00525 ,0.02619 ,0.07858 ,350  ,1 ,B   ,B_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:548402827_3-DT22LV)                                 ,DT22LV                                         ,548402827_3  ,0.42  ,0.014 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00376 ,0.00362 ,0.31917  ,0.00624 ,0.03114 ,0.09341 ,350  ,1 ,B   ,B_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:548402829_3-DT23LV)                                 ,DT23LV                                         ,548402829_3  ,0.42  ,0.014 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00379 ,0.00365 ,0.32131  ,0.00629 ,0.03134 ,0.09403 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:549934793_0-DT24LV)                                 ,DT24LV                                         ,549934793_0  ,0.42  ,0.012 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00313 ,0.00301 ,0.26529  ,0.00519 ,0.02588 ,0.07764 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
L(R:549989599_4-DT27LV)                                 ,DT27LV                                         ,549989599_4  ,0.42  ,0.019 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00506 ,0.00488 ,0.42972  ,0.00841 ,0.04192 ,0.12576 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0 ,
